rank_by_baseline_abs_pull,event,particle,truth_txy,truth_regime_primary,truth_near_window,baseline_abs_qop_pull,baseline_qop_pull_last_effective,baseline_gaussian_nll_from_pull,mapped_kappa_F,mapped_omega_dz_deg,baseline_forward_mean_nis_per_hit
51,88,0,1.387685367119655,bulk_truth_txy_lt4,0,1.9890189619292769,1.9890189619292769,2.8970367486617814,124.37374429292376,19.31383507272717,2.5464132144064244
52,58,14,2.8136738450437893,bulk_truth_txy_lt4,0,1.9872238656983932,1.9872238656983932,2.8934678794053053,124.37374429292376,19.31383507272717,2.516652761251664
53,92,20,1.2203903605345203,bulk_truth_txy_lt4,0,1.9773895017812584,-1.9773895017812584,2.873973154082039,124.37374429292376,19.31383507272717,0.2529382408115256
54,6,3,2.518128999281965,bulk_truth_txy_lt4,0,1.9701022828224684,1.9701022828224684,2.859590035595823,124.37374429292376,19.31383507272717,1.9077811996150889
55,91,19,2.1073897024576858,bulk_truth_txy_lt4,0,1.9437878416015275,1.9437878416015275,2.808094119783635,124.37374429292376,19.31383507272717,4.582938279465592
56,75,13,1.1263473835205495,bulk_truth_txy_lt4,0,1.9402701391968835,1.9402701391968835,2.8012626397342197,124.37374429292376,19.31383507272717,2.912999262057405
57,46,8,1.58047402941849,bulk_truth_txy_lt4,0,1.9393903803071384,-1.9393903803071384,2.799556056818606,124.37374429292376,19.31383507272717,0.5593680947385643
58,74,14,1.23962389152448,bulk_truth_txy_lt4,0,1.9259140529163448,-1.9259140529163448,2.7735110028150034,124.37374429292376,19.31383507272717,0.7392607260091036
59,88,9,1.2801047049135892,bulk_truth_txy_lt4,0,1.9203589133754844,-1.9203589133754844,2.7628277112950084,124.37374429292376,19.31383507272717,0.9323350021773869
60,65,3,1.111278177874688,bulk_truth_txy_lt4,0,1.916320934864044,1.916320934864044,2.7550814959037746,124.37374429292376,19.31383507272717,2.485943459514381
61,91,5,2.384707294784791,bulk_truth_txy_lt4,0,1.90128461981372,1.90128461981372,2.7263801359747735,124.37374429292376,19.31383507272717,1.8367219170785616
62,92,19,1.0338838436499216,bulk_truth_txy_lt4,0,1.853669438332032,-1.853669438332032,2.6369837265077685,124.37374429292376,19.31383507272717,1.3264201969468796
63,14,2,1.6170993454666036,bulk_truth_txy_lt4,0,1.852052594187163,1.852052594187163,2.633987939022373,124.37374429292376,19.31383507272717,2.723951028869008
64,99,2,4.406190457825198,transition_truth_txy_4_8,1,1.8515091315249108,1.8515091315249108,2.6329815652647373,225.19732735492576,21.17816950665614,5.634757435968763
65,79,3,1.336084526211488,bulk_truth_txy_lt4,0,1.851418940054406,-1.851418940054406,2.6328145790007627,124.37374429292376,19.31383507272717,0.4174950420365727
66,42,11,1.0494145582311951,bulk_truth_txy_lt4,0,1.845807382528694,1.845807382528694,2.622440979903387,124.37374429292376,19.31383507272717,2.775515279166052
67,94,2,1.0937025910436275,bulk_truth_txy_lt4,0,1.844674909566058,-1.844674909566058,2.620351294195945,124.37374429292376,19.31383507272717,1.06314200689871
68,78,13,5.67818524186143,transition_truth_txy_4_8,1,1.838583573350038,1.838583573350038,2.60913331130097,540.9287023590645,27.01637577165246,3.9663496556332176
69,43,3,1.4428406858912397,bulk_truth_txy_lt4,0,1.8385022966152853,1.8385022966152853,2.6089838805345122,124.37374429292376,19.31383507272717,2.233108355243539
70,0,9,1.1280320252546023,bulk_truth_txy_lt4,0,1.838232000505583,1.838232000505583,2.6084869770460513,124.37374429292376,19.31383507272717,2.927375884874978
71,97,26,1.144451057032307,bulk_truth_txy_lt4,0,1.8374660642065237,-1.8374660642065237,2.607079301759979,124.37374429292376,19.31383507272717,1.341888940366021
72,61,9,3.956896669108255,bulk_truth_txy_lt4,0,1.834808214241763,1.834808214241763,2.6021991247291965,124.37374429292376,19.31383507272717,1.8388199892993504
73,77,2,1.1635398103765553,bulk_truth_txy_lt4,0,1.8320774206417865,1.8320774206417865,2.597192370817403,124.37374429292376,19.31383507272717,3.4033244849708555
74,61,7,2.3204898730631998,bulk_truth_txy_lt4,0,1.8303497155052209,1.8303497155052209,2.594028573729694,124.37374429292376,19.31383507272717,1.7328573076620153
75,78,25,1.3063731533733378,bulk_truth_txy_lt4,0,1.8280095145281487,1.8280095145281487,2.5897479258073917,124.37374429292376,19.31383507272717,2.2503666505186954
