row_type,method,pull_width_std_ddof1,gamma,lambda_scale,effective_nis_threshold_for_reported_10,pass_rate_for_lambda3_outlier_under_3sigmahat_cut
analytic_curve,analytic,,1.62,3.0,26.244,0.894767723091
analytic_curve,analytic,,1.63,3.0,26.569,0.89689850302
analytic_curve,analytic,,1.64,3.0,26.896,0.898994833052
analytic_curve,analytic,,1.65,3.0,27.225,0.901057063933
analytic_curve,analytic,,1.66,3.0,27.556,0.903085547467
analytic_curve,analytic,,1.67,3.0,27.889,0.905080636394
analytic_curve,analytic,,1.68,3.0,28.224,0.907042684273
analytic_curve,analytic,,1.69,3.0,28.561,0.908972045357
analytic_curve,analytic,,1.7,3.0,28.9,0.910869074483
analytic_curve,analytic,,1.71,3.0,29.241,0.912734126952
analytic_curve,analytic,,1.72,3.0,29.584,0.914567558417
analytic_curve,analytic,,1.73,3.0,29.929,0.916369724773
analytic_curve,analytic,,1.74,3.0,30.276,0.918140982042
analytic_curve,analytic,,1.75,3.0,30.625,0.919881686272
analytic_curve,analytic,,1.76,3.0,30.976,0.921592193425
analytic_curve,analytic,,1.77,3.0,31.329,0.923272859274
analytic_curve,analytic,,1.78,3.0,31.684,0.924924039303
analytic_curve,analytic,,1.79,3.0,32.041,0.926546088603
analytic_curve,analytic,,1.8,3.0,32.4,0.928139361774
analytic_curve,analytic,,1.81,3.0,32.761,0.929704212832
analytic_curve,analytic,,1.82,3.0,33.124,0.931240995108
analytic_curve,analytic,,1.83,3.0,33.489,0.932750061161
analytic_curve,analytic,,1.84,3.0,33.856,0.934231762682
analytic_curve,analytic,,1.85,3.0,34.225,0.935686450409
analytic_curve,analytic,,1.86,3.0,34.596,0.937114474038
analytic_curve,analytic,,1.87,3.0,34.969,0.938516182141
analytic_curve,analytic,,1.88,3.0,35.344,0.939891922078
analytic_curve,analytic,,1.89,3.0,35.721,0.941242039919
analytic_curve,analytic,,1.9,3.0,36.1,0.942566880368
analytic_curve,analytic,,1.91,3.0,36.481,0.94386678668
analytic_curve,analytic,,1.92,3.0,36.864,0.945142100592
analytic_curve,analytic,,1.93,3.0,37.249,0.946393162246
analytic_curve,analytic,,1.94,3.0,37.636,0.947620310119
analytic_curve,analytic,,1.95,3.0,38.025,0.948823880957
analytic_curve,analytic,,1.96,3.0,38.416,0.950004209704
analytic_curve,analytic,,1.97,3.0,38.809,0.95116162944
analytic_curve,analytic,,1.98,3.0,39.204,0.952296471317
analytic_curve,analytic,,1.99,3.0,39.601,0.9534090645
analytic_curve,analytic,,2.0,3.0,40.0,0.954499736104
measured_contract,baseline,1.000471189643,0.999529032272,3.0,9.990582863539,0.68246151766
measured_contract,replacement,0.802154129946,1.24664321066,3.0,15.541192946842,0.787471649748
