group,n,nonfinite_truth_txy_count,ranked_by,abs_pull_threshold_min_in_group,abs_pull_median,abs_pull_mean,truth_txy_median,truth_txy_mean,truth_txy_p95,mapped_kappa_F_median,mapped_kappa_F_p95,mapped_omega_dz_deg_median,mapped_omega_dz_deg_p95,fraction_truth_txy_ge4,fraction_truth_txy_ge8,fraction_truth_near_window,mean_gaussian_nll_from_pull,delta_mean_gaussian_nll_vs_all,mapping_note,fraction_regime_bulk_truth_txy_lt4,fraction_regime_transition_truth_txy_4_8,fraction_regime_extreme_truth_txy_ge8
all_tracks,1490,2,baseline_abs_qop_pull_last_effective,,0.737142909432,0.804030065784,2.063123304565,7.341822117832,20.713547827534,124.373744292924,76296.80226307949,19.313835072727,93.802895450049,0.240939597315,0.126174496644,0.240939597315,1.419847261347,0.0,kappa_F_and_omega_dz_deg_mapped_from_threshold_table_clipped_to_table_range,0.759060402685,0.114765100671,0.126174496644
top_1pct,15,0,baseline_abs_qop_pull_last_effective,2.704491496151,2.929250561603,3.196168255763,3.265483271839,3.359989240053,5.309027119607,124.373744292924,449.297193333892,19.313835072727,25.3220124856,0.266666666667,0.0,0.266666666667,6.133786534419,4.713939273072,kappa_F_and_omega_dz_deg_mapped_from_threshold_table_clipped_to_table_range,0.733333333333,0.266666666667,0.0
top_5pct,75,0,baseline_abs_qop_pull_last_effective,1.828009514528,2.189393832055,2.324466401724,1.967240526386,2.231966552321,4.593114050612,124.373744292924,271.595035672543,19.313835072727,22.036112089581,0.106666666667,0.0,0.106666666667,3.758384325832,2.338537064485,kappa_F_and_omega_dz_deg_mapped_from_threshold_table_clipped_to_table_range,0.893333333333,0.106666666667,0.0
