nearest_target_txy,n_tracks,truth_txy_min,truth_txy_max,theta_clip_fraction_median,sym_kl_median,sym_kl_p90,skew_fro_median,joint_mardia_excess_median,kurt_fro_median,omega_dz_reference_deg_median,kappa_F_reference_median
4.0000000000,1201,1.0004727592,4.9850553257,0.0000000000,0.0873676582,0.5726204418,0.3486700063,0.3842152646,0.2365541318,9.2459792798,124.3737442929
6.0000000000,81,5.0068178499,6.9872738221,0.0027000000,12.9371688051,13.1888278479,15.0223413135,422.0455965181,255.0682128607,27.7245716893,620.8087595408
8.0000000000,46,7.0540553987,8.9885180665,0.1023500000,12.9070622096,13.1503415382,5.2741278690,45.7071149467,27.1575086831,38.2226061948,1956.8865625871
10.0000000000,35,9.0552442949,12.2873965051,0.1124000000,12.9681771381,13.2571150412,4.4906428763,41.5155459349,25.8207574197,48.8572341716,4773.5395351632
15.0000000000,30,12.5254793828,17.4559667463,0.3267000000,12.0739387671,12.8299681273,2.1785520477,6.5142454165,5.1304631210,71.1333990181,24149.1246429136
20.0000000000,95,17.5329847874,671.6345732614,0.4413000000,11.5565214424,12.1505522526,1.5287261490,1.8106839363,2.6433721144,150.4972924500,76296.8022630795
