"protocol_version","method_pair_label","method_label","profile","runtime_preset","regime_source","regime_label","tracks_requested_total","tracks_processed_total","method_tracks_valid_total","pair_tracks_valid_total","tracks_requested","tracks_processed","tracks_valid","tracks_metric","runtime_success_fraction","pair_metric_fraction","chi2_ndf_mean","chi2_ndf_median","dp_over_p_mean","dp_over_p_median","dp_over_p_sigma","qop_pull_mean","qop_pull_median","qop_pull_sigma","qop_pull_abs_lt2_fraction","forward_innovation_reduced_chi2_mean","forward_innovation_reduced_chi2_median","forward_innovation_reduced_chi2_sigma","forward_mean_nis_per_hit_mean","forward_mean_nis_per_hit_median","forward_mean_nis_per_hit_sigma","physics_success_composite_fraction","pseudo_hits_mean","triplet_hits_mean","layer3_recenter_hits_mean","transition_trigger_hits_mean","router_hits_mean","eta_damped_hits_mean","late_danger_pre_hits_mean","layer3_underrestore_hits_mean","l4_extension_hits_mean","global_circle_restore_hits_mean","near_boundary_policy_split_hits_mean","upper_band_history_guard_hits_mean","transition_covariance_shaping_hits_mean","bulk_covariance_shaping_hits_mean","transition_preinflation_enabled_mean","bulk_p1_shaping_enabled_mean","postinterp_ab_applied_mean","postinterp_outer_law_applied_mean","postinterp_transition_recenter_applied_mean","postinterp_covariance_propagated_mean"
"replacement_protocol_v1","baseline_vs_replacement_v1","baseline_z_default","full_matched","default","truth_txy","all_tracks","120","120","120","120","120","120","120","120","1.0","1.0","3.022109533781525","1.1510875593650587","0.07461740035727095","-0.17391418982752985","0.8614876413189356","0.05265879310284232","-0.13267678702835886","1.1224759778337452","0.925","1.1332910751680718","0.431657834761897","2.7392364171695545","2.2665821503361436","0.863315669523794","5.478472834339109","","","","","","","","","","","","","","","","","","","","",""
"replacement_protocol_v1","baseline_vs_replacement_v1","baseline_z_default","full_matched","default","truth_txy","bulk_truth_txy_lt4","120","120","120","120","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"replacement_protocol_v1","baseline_vs_replacement_v1","baseline_z_default","full_matched","default","truth_txy","transition_truth_txy_4_8","120","120","120","120","120","120","120","120","1.0","1.0","3.022109533781525","1.1510875593650587","0.07461740035727095","-0.17391418982752985","0.8614876413189356","0.05265879310284232","-0.13267678702835886","1.1224759778337452","0.925","1.1332910751680718","0.431657834761897","2.7392364171695545","2.2665821503361436","0.863315669523794","5.478472834339109","","","","","","","","","","","","","","","","","","","","",""
"replacement_protocol_v1","baseline_vs_replacement_v1","baseline_z_default","full_matched","default","truth_txy","extreme_truth_txy_ge8","120","120","120","120","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"replacement_protocol_v1","baseline_vs_replacement_v1","baseline_z_default","full_matched","default","truth_txy","near_window_truth_txy_ge4","120","120","120","120","120","120","120","120","1.0","1.0","3.022109533781525","1.1510875593650587","0.07461740035727095","-0.17391418982752985","0.8614876413189356","0.05265879310284232","-0.13267678702835886","1.1224759778337452","0.925","1.1332910751680718","0.431657834761897","2.7392364171695545","2.2665821503361436","0.863315669523794","5.478472834339109","","","","","","","","","","","","","","","","","","","","",""
"replacement_protocol_v1","baseline_vs_replacement_v1","replacement_v1","full_matched","default","truth_txy","all_tracks","120","120","120","120","120","120","120","120","1.0","1.0","1.5000841321559817","1.7250296523114246","-0.05788715680540662","-0.1592645511188422","0.8392611713552562","-0.1123226152841041","-0.2966278622652436","0.8541238532241416","0.9833333333333333","0.562531549558493","0.6468861196167841","0.5254034125902939","1.125063099116986","1.2937722392335682","1.0508068251805878","","0.15","0.0","0.10833333333333334","","","4.908333333333333","0.0","0.041666666666666664","","","","","0.041666666666666664","0.0","1.0","0.0","1.0","0.041666666666666664","0.6416666666666667","1.0"
"replacement_protocol_v1","baseline_vs_replacement_v1","replacement_v1","full_matched","default","truth_txy","bulk_truth_txy_lt4","120","120","120","120","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"replacement_protocol_v1","baseline_vs_replacement_v1","replacement_v1","full_matched","default","truth_txy","transition_truth_txy_4_8","120","120","120","120","120","120","120","120","1.0","1.0","1.5000841321559817","1.7250296523114246","-0.05788715680540662","-0.1592645511188422","0.8392611713552562","-0.1123226152841041","-0.2966278622652436","0.8541238532241416","0.9833333333333333","0.562531549558493","0.6468861196167841","0.5254034125902939","1.125063099116986","1.2937722392335682","1.0508068251805878","","0.15","0.0","0.10833333333333334","","","4.908333333333333","0.0","0.041666666666666664","","","","","0.041666666666666664","0.0","1.0","0.0","1.0","0.041666666666666664","0.6416666666666667","1.0"
"replacement_protocol_v1","baseline_vs_replacement_v1","replacement_v1","full_matched","default","truth_txy","extreme_truth_txy_ge8","120","120","120","120","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"replacement_protocol_v1","baseline_vs_replacement_v1","replacement_v1","full_matched","default","truth_txy","near_window_truth_txy_ge4","120","120","120","120","120","120","120","120","1.0","1.0","1.5000841321559817","1.7250296523114246","-0.05788715680540662","-0.1592645511188422","0.8392611713552562","-0.1123226152841041","-0.2966278622652436","0.8541238532241416","0.9833333333333333","0.562531549558493","0.6468861196167841","0.5254034125902939","1.125063099116986","1.2937722392335682","1.0508068251805878","","0.15","0.0","0.10833333333333334","","","4.908333333333333","0.0","0.041666666666666664","","","","","0.041666666666666664","0.0","1.0","0.0","1.0","0.041666666666666664","0.6416666666666667","1.0"
